Loan_Amount_Term,Credit_History,Loan_Status,LoanAmount_log,ApplicantIncome_log,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
360.0,1.0,1,4.852030263919617,8.674025985443025,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.852030263919617,8.430109084509125,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
360.0,1.0,1,4.189654742026425,8.006367567650246,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
360.0,1.0,1,4.787491742782046,7.8567067930958405,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,1.0,1,4.948759890378168,8.699514748210191,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,1,5.58724865840025,8.597297435657898,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
360.0,1.0,1,4.553876891600541,7.75491027202143,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
360.0,0.0,0,5.062595033026967,8.01829613851552,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
360.0,1.0,1,5.123963979403259,8.295548516225763,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,5.855071922202427,9.460398455831275,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
360.0,1.0,1,4.248495242049359,8.070906088787819,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.6913478822291435,7.824046010856292,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,5.298317366548036,8.030409562130485,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,0,4.736198448394496,7.52456122628536,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
120.0,1.0,1,2.833213344056216,7.1693500166706,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
360.0,1.0,1,4.8283137373023015,8.507142855562735,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
240.0,1.0,1,4.605170185988092,8.18757739559151,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
360.0,0.0,0,4.330733340286331,8.163371316459912,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
360.0,1.0,0,4.890349128221754,8.494333897270154,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
